"","zip","city","state","latitude","longitude","fips"
"1","00210","Portsmouth","NH",43.005895,-71.013202,33015
"2","00211","Portsmouth","NH",43.005895,-71.013202,33015
"3","00212","Portsmouth","NH",43.005895,-71.013202,33015
"4","00213","Portsmouth","NH",43.005895,-71.013202,33015
"5","00214","Portsmouth","NH",43.005895,-71.013202,33015
"6","00215","Portsmouth","NH",43.005895,-71.013202,33015
"7","03040","East Candia","NH",43.005895,-71.013202,33015
"8","03041","East Derry","NH",43.005895,-71.013202,33015
"9","03073","North Salem","NH",43.005895,-71.013202,33015
"10","03802","Portsmouth","NH",43.005895,-71.013202,33015
"11","03804","Portsmouth","NH",43.005895,-71.013202,33015
"12","03843","Hampton","NH",43.005895,-71.013202,33015
"13","00501","Holtsville","NY",40.922326,-72.637078,36103
"14","00544","Holtsville","NY",40.922326,-72.637078,36103
"15","11707","West Babylon","NY",40.922326,-72.637078,36103
"16","11708","Amityville","NY",40.922326,-72.637078,36103
"17","11739","Great River","NY",40.922326,-72.637078,36103
"18","11745","Smithtown","NY",40.922326,-72.637078,36103
"19","11749","Islandia","NY",40.922326,-72.637078,36103
"20","11750","Huntington Station","NY",40.922326,-72.637078,36103
"21","11775","Melville","NY",40.922326,-72.637078,36103
"22","11794","Stony Brook","NY",40.922326,-72.637078,36103
"23","11805","Mid Island","NY",40.922326,-72.637078,36103
"24","11931","Aquebogue","NY",40.922326,-72.637078,36103
"25","11969","Southampton","NY",40.922326,-72.637078,36103
"26","11973","Upton","NY",40.922326,-72.637078,36103
"27","00601","Adjuntas","PR",18.180103,-66.74947,72001
"28","00602","Aguada","PR",18.363285,-67.18024,72003
"29","00603","Aguadilla","PR",18.448619,-67.13422,72005
"30","00604","Aguadilla","PR",18.498987,-67.13699,72005
"31","00605","Aguadilla","PR",18.465162,-67.141486,72005
"32","00606","Maricao","PR",18.182151,-66.9588,72093
"33","00607","Aguas Buenas","PR",18.256995,-66.104657,72007
"34","00609","Aibonito","PR",18.142002,-66.273278,72009
"35","00610","Anasco","PR",18.288319,-67.13604,72011
"36","00611","Angeles","PR",18.279531,-66.80217,72141
"37","00612","Arecibo","PR",18.449732,-66.69879,72013
"38","00613","Arecibo","PR",18.458093,-66.732732,72013
"39","00614","Arecibo","PR",18.429675,-66.674506,72013
"40","00615","Arroyo","PR",17.96977,-66.061459,72015
"41","00616","Bajadero","PR",18.426748,-66.67669,72013
"42","00617","Barceloneta","PR",18.455499,-66.55575,72017
"43","00618","Barranquitas","PR",18.185463,-66.305827,72019
"44","00622","Boqueron","PR",18.003125,-67.16745,72023
"45","00623","Cabo Rojo","PR",18.08643,-67.15222,72023
"46","00624","Penuelas","PR",18.055399,-66.72602,72111
"47","00625","Caguas","PR",18.232109,-66.039087,72025
"48","00626","Caguas","PR",18.235003,-66.037318,72025
"49","00627","Camuy","PR",18.435246,-66.85644,72027
"50","00631","Castaner","PR",18.186739,-66.85174,72081
"51","00633","Cayey","PR",18.194527,-66.183467,72041
"52","00634","Cayey","PR",18.111528,-66.177083,72035
"53","00635","Ceiba","PR",18.262902,-65.646529,72037
"54","00636","Rosario","PR",18.113284,-67.039706,72125
"55","00637","Sabana Grande","PR",18.073078,-66.94864,72121
"56","00638","Ciales","PR",18.308139,-66.49835,72039
"57","00639","Cidra","PR",18.176094,-66.158728,72041
"58","00640","Coamo","PR",18.077197,-66.359104,72043
"59","00641","Utuado","PR",18.268896,-66.70519,72141
"60","00643","Corozal","PR",18.341254,-66.315194,72047
"61","00644","Coto Laurel","PR",18.049577,-66.55218,72113
"62","00645","Culebra","PR",18.308508,-65.304732,72049
"63","00646","Dorado","PR",18.442798,-66.27689,72051
"64","00647","Ensenada","PR",17.964529,-66.93993,72055
"65","00648","Fajardo","PR",18.333038,-65.656182,72053
"66","00650","Florida","PR",18.363331,-66.56773,72054
"67","00652","Garrochales","PR",18.457453,-66.61217,72013
"68","00653","Guanica","PR",17.992112,-66.90097,72055
"69","00654","Jobos","PR",17.979518,-66.117219,72057
"70","00655","Olimpo","PR",17.976371,-66.116795,72057
"71","00656","Guayanilla","PR",18.038866,-66.79168,72059
"72","00658","Gurabo","PR",18.254137,-65.973605,72063
"73","00659","Hatillo","PR",18.432956,-66.80039,72065
"74","00660","Hormigueros","PR",18.139108,-67.12085,72067
"75","00661","Humacao","PR",18.150829,-65.826595,72069
"76","00662","Isabela","PR",18.478855,-67.01973,72071
